,Contract Address,Classification,Detailed Classification,upgradeable_x,upgradeable_y
961,0x2974d237597e3c449cfc82f0bbbe2083e77c6f29,Forward proxy,No assignments to local1 outside the fallback function,0,1
967,0x1337def159da6f97db7c4d0e257dc689837b9e70,Forward proxy,No assignments to local1 outside the fallback function,0,1
970,0xc025d6cc81bb98b7beb7484ab9f93b6e91a25fd5,Forward proxy,No assignments to local3 outside the fallback function,0,1
987,0xfe6cd6de459db214818492f532ec02ba87319437,Not a proxy,No delegatecall found,0,1
991,0x2420057461bd2fb756e0a610897c51de7fb18311,Not a proxy,No delegatecall found,0,1
996,0xc66a263f2c7c1af0bd70c6ca4bff5936f3d6ef9f,Not a proxy,No delegatecall found,0,1
1009,0xc2c10f6176ddcea8c3c64b50a91e65211571553c,Unknown,Failed to decompile bytecode,0,1
1012,0xbcdd2a069a46e9b5d032d2f99725418508ce6aee,Forward proxy,No assignments to dTokenImplementation outside the fallback function,0,1
1013,0x817c39c8825e12ea7752483c85dd2c800b78b357,Not a proxy,No delegatecall found,0,1
1017,0xbf14ab5a0dbd74fbf9ac7712186f8d8610b8edcb,Forward proxy,No assignments to local1 outside the fallback function,0,1
1019,0xfd062d0ebc900ef504435dce9347797d3b5e12aa,Forward proxy,No assignments to local4 outside the fallback function,0,1
1029,0x10b7adf57d60e0b33acb0de99afda4471ea989e3,Not a proxy,No delegatecall found,0,1
1034,0x3adf48629d12cb81f33e7d6f39cce7f3a9562728,Forward proxy,No assignments to local1 outside the fallback function,0,1
1038,0x27785351924abff1895cbfd6622b93692e5d7537,Forward proxy,No assignments to local1 outside the fallback function,0,1
1041,0xccda7941ab1ac7a32f49843c0b3edf618b20f6ae,Not a proxy,No delegatecall found,0,1
1049,0x75ce0e501e2e6776fcaaa514f394a88a772a8970,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1053,0x9642c7026822391100a4773d7aa597ae18ece7dd,Not a proxy,No delegatecall found,0,1
1054,0x86eab2917202ede1310928724ae6522027126d4d,Forward proxy,No assignments to local1 outside the fallback function,0,1
1064,0x54c532e367031f56c401c6024ac4abeff2b03534,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1067,0x282be0f2f2e56ada86acfef367389f6f805003b3,Forward proxy,No assignments to local4 outside the fallback function,0,1
1083,0x2cd4e8d82f62a91b2299b083ba08532a6a96a13a,Forward proxy,No assignments to USRImplementation outside the fallback function,0,1
1091,0x443d2f2755db5942601fa062cc248aaa153313d3,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1098,0x9792ee4c36a622a8cf9566b037c57519a9fe8a56,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1106,0x36b8fddea10d6cb31ba48124f307954070292c8d,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1117,0x0e182c65d2bf128dbb28fb6f2b9edd65b0142b4c,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1122,0x06805e03cc3ceff7a13bed0b2f40d7abd515699d,Forward proxy,No assignments to local1 outside the fallback function,0,1
1127,0xa05123fa6c495716fa1838c192aa60ce05d427ab,Forward proxy,No assignments to local1 outside the fallback function,0,1
1144,0xb5c18e59ac0ee2fe1a91542981dd5efd8b6ee5c0,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1150,0xa64cf4fc6003f34de14e19abdde85830a3266ee6,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1169,0x1337def1900ceaabf5361c3df6af653d814c6348,Forward proxy,No assignments to local1 outside the fallback function,0,1
1212,0x07cf2e8150e442e74fa8a9c42b54d96fda1c6d75,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1215,0xddafc18a1f0f4e5b78c14391bda65e113096f5af,Forward proxy,No assignments to local1 outside the fallback function,0,1
1219,0x5ea2544551448cf6dcc1d853addd663d480fd8d3,Not a proxy,No delegatecall found,0,1
1226,0x0bd148b3c06416e83ddf6662381ee32c4a0bd714,Forward proxy,No assignments to local1 outside the fallback function,0,1
1229,0x19eb6536777713acdaca8dd9a3ad9843d74e9e3b,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1243,0x3bdf1977d87edad8e0617efcea958f6d43a4c30e,Forward proxy,No assignments to var_2 outside the fallback function,0,1
1268,0x60ad532f956b48d7f9fae3c1398197295f2f48e6,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1272,0x4b96392d597fad663993afc9a5e4849cfd7e2b7d,Forward proxy,No assignments to var_1 outside the fallback function,0,1
1281,0xdc3c72d69ebc8f4642aa17ad60f8c230c40593af,Forward proxy,No assignments to var_1 outside the fallback function,0,1
