Contract Address,Classification,Detailed Classification,upgradeable_PROXiFY,upgradeable_SWORD
0x1599fc31135ce95855f8551d7e30d42f07fe7d48,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xcdfa62496f3c61114aedf001661942a09b5b7d77,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x2c51791a68bf6bf347784e6a3c04e40bf2dedd93,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x038c8f9abc21bf6575f49fce9a1ed7a69301a49b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xf09232320ebeac33fae61b24bb8d7ca192e58507,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xb0c85c099094e73ffc1df23c8309a8b14c64420a,Forward proxy,No assignments to local4 outside the fallback function,0,1
0xf8b7235fcfd5a75cfdcc0d7bc813817f3dd17858,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0xcd07aad1cb9aa16a38f8917dd8f0ea458b6d62e3,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x4316aaa55ab3bd3a7ee3fbc83580521801210225,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xadd1539fb19e03ee66fd365a6f6cad68b49f981c,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xa0d7cf9f3828049ceff9d6746b6906f157de3b38,Upgradeable proxy,Variable implementation assigned outside the fallback function,1,1
0xaac50b95fbb13956d7c45511f24c3bf9e2a4a76b,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x1de3877c9012824c9acc39995647754b1fa9959f,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x6811a4e0652732b89b10262f11f02916c3486272,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xc4a499092eadd2141be2413a89e624b3394488c2,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x0417912b3a7af768051765040a55bb0925d4ddcf,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x30b5a962c6c7296a8ab3773dd6e018e4b498921a,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x69bbc3f8787d573f1bbdd0a5f40c7ba0aee9bcc9,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x24b22b031ae1b5a6b09f9a0fd33613a40e0d70e6,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x2cebe81fe0dcd220e668af98a603782f7f531605,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0xbb9ed9cb9bc075ab50d196fee6611fbb93300968,Forward proxy,No assignments to local1 outside the fallback function,0,1
0x728b789a35497ad8284882822439a9cd3c6d3e8b,Upgradeable proxy,Implementation address can be modified,1,1
0xbb481bb9b46130e384ce5210ea3874ce4218a950,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x332c218cdd4cad4295a9ddc7c693f33ded6e98c6,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
0x0635a20e091ad352301e0e7f0039a61518e4dc17,Upgradeable proxy,Variable var_2 assigned outside the fallback function,1,1
